,Applicants Total,Applicants Men,Applicants Women,Admissions Women,Admissions Men,Admissions Total,Enrolled Women,Enrolled Men,Enrolled Total
2021,75778,29240,46538,7425,6704,14129,2261,1750,4011
2020,61007,24882,36125,7147,5107,12254,1740,1174,2914
2019,62224,25671,36553,6876,4910,11786,1850,1306,3156
2018,64481,26432,38049,8268,5979,14247,2040,1572,3612
2017,60825,25203,35622,9147,6126,15273,2054,1444,3498
2016,57441,23950,33491,10264,6643,16907,2144,1408,3552
2015,54781,22988,31793,11056,6815,17871,2282,1347,3629
2014,54190,22478,31712,11586,7115,18701,2445,1470,3915
2013,44006,17808,26198,12468,7603,20071,2361,1516,3877
2012,41802,17146,24656,12613,8050,20663,2451,1572,4023
2011,38275,15795,22480,13388,8799,22187,2638,1771,4409
2010,37795,15239,22556,13506,8595,22101,2558,1572,4130
2009,38010,15420,22590,12567,8073,20640,2488,1643,4131
2008,33930,13865,20065,12005,7883,19888,2536,1627,4163
2007,31851,12987,18864,11274,7304,18578,2575,1549,4124
2006,31431,13075,18356,10565,7245,17810,2521,1691,4212
2005,28240,11615,16625,9482,6178,15660,2635,1717,4352
2004,29356,11682,17674,9301,5890,15191,2350,1611,3961
2003,27038,10641,16397,9617,6060,15677,2762,1798,4560
2002,27038,10641,16397,9617,6060,15677,2762,1798,4560
2001,27562,10786,16776,8339,4931,13270,2259,1342,3601
